no | best | best 20 | generation
0 | 2.6 | 1.4311000000000003 | 0.26981750000000054
1 | 3.1569999999999996 | 1.5166 | 0.3678325000000003
2 | 2.649 | 1.9328000000000003 | 0.43803499999999934
3 | 9.844 | 3.0601499999999997 | 0.49157999999999996
4 | 8.012 | 3.68825 | 0.5635099999999997
5 | 8.221 | 3.96985 | 0.7196875000000013
6 | 11.869 | 5.39735 | 0.8192575000000001
7 | 10.562999999999999 | 8.5265 | 1.3934274999999976
8 | 13.272 | 11.178650000000001 | 4.749097500000001
9 | 15.927000000000001 | 12.763700000000004 | 7.273722499999999
10 | 14.967999999999998 | 12.869850000000003 | 8.709660000000008
11 | 14.872 | 13.036399999999997 | 8.713617499999994
12 | 16.054000000000002 | 13.837150000000003 | 8.925872500000002
13 | 15.108999999999998 | 13.7096 | 8.960132499999991
14 | 15.988 | 14.437300000000002 | 9.129137500000006
15 | 17.145999999999997 | 14.272900000000002 | 9.1804275
16 | 16.097 | 14.375150000000001 | 9.507097500000008
17 | 18.676 | 14.685300000000002 | 9.195612499999998
18 | 15.850000000000003 | 14.806599999999998 | 9.509935000000008
19 | 18.284999999999997 | 15.302999999999997 | 9.619440000000004
20 | 19.171 | 15.536899999999997 | 9.679645000000004
21 | 19.094 | 15.360549999999998 | 9.55871750000001
22 | 18.835 | 16.2928 | 9.6022375
23 | 18.35 | 16.2235 | 10.145435
24 | 19.433 | 16.30315 | 10.151432499999997
25 | 21.071 | 17.113400000000006 | 10.407607499999992
26 | 18.418 | 16.364849999999997 | 10.075305000000004
27 | 20.659 | 17.322650000000003 | 10.432190000000002
28 | 20.127999999999997 | 16.87415 | 10.363834999999995
29 | 19.174 | 17.19475 | 10.507872500000005
30 | 19.909 | 17.99875 | 10.954875
31 | 20.811999999999998 | 18.189950000000003 | 11.358925000000015
32 | 20.619 | 18.23625 | 11.19461
33 | 22.248 | 19.316399999999994 | 11.381817500000004
34 | 22.651000000000003 | 19.088150000000002 | 11.422039999999997
35 | 21.584 | 19.32815 | 11.825060000000002
36 | 21.217999999999996 | 19.09945 | 12.152769999999997
37 | 22.462 | 20.56845 | 12.047462500000002
38 | 24.799 | 21.602249999999998 | 12.508495000000005
39 | 24.731 | 21.146750000000004 | 12.368242499999994
40 | 26.932 | 21.82935 | 13.1061225
41 | 22.881000000000004 | 21.2374 | 12.502294999999986
42 | 23.839 | 22.5844 | 13.680222500000006
43 | 26.604000000000003 | 22.700100000000003 | 13.048552500000014
44 | 24.315 | 23.26465 | 13.556435
45 | 24.769 | 23.832699999999996 | 13.808227499999994
46 | 27.761000000000003 | 24.381899999999998 | 13.759817499999995
47 | 28.615 | 24.2947 | 13.887509999999995
48 | 29.419 | 24.732099999999996 | 14.495397499999992
49 | 27.683000000000003 | 25.51515 | 14.304857500000004
50 | 29.168000000000006 | 25.163149999999995 | 14.521722500000008
51 | 29.895999999999994 | 25.738649999999996 | 13.995787500000008
52 | 27.944 | 25.481549999999995 | 14.499310000000007
53 | 27.168 | 25.528200000000002 | 13.766909999999994
54 | 28.439 | 26.029350000000004 | 13.826822500000022
55 | 29.889000000000003 | 26.455400000000004 | 15.029840000000002
56 | 28.117 | 26.28875 | 14.419252499999994
57 | 28.877 | 26.771199999999993 | 14.459817500000003
58 | 28.887 | 25.612700000000007 | 14.303770000000009
59 | 27.536 | 26.18215 | 15.084632499999984
60 | 29.401999999999997 | 26.72105 | 14.026355000000022
61 | 29.683 | 26.182949999999998 | 14.241087499999994
62 | 29.306 | 26.585 | 14.369507500000008
63 | 28.563 | 26.2605 | 14.853892500000013
64 | 29.435000000000002 | 26.7283 | 14.22337249999999
65 | 28.593 | 26.258650000000006 | 14.4126075
66 | 27.748999999999995 | 26.390599999999996 | 14.695285000000004
67 | 29.522000000000002 | 26.879 | 14.243059999999975
68 | 30.221999999999998 | 26.838 | 14.231167500000005
69 | 29.176000000000005 | 26.541449999999998 | 14.370540000000007
70 | 30.907 | 26.74585 | 14.218515000000009
71 | 30.552000000000003 | 27.259849999999993 | 14.988855000000003
72 | 30.646000000000004 | 26.839799999999997 | 14.60016749999999
73 | 30.046 | 27.400549999999992 | 14.5128725
74 | 29.206 | 26.5836 | 13.764075000000007
75 | 28.683 | 26.705449999999995 | 14.324075000000011
76 | 29.371 | 26.295800000000003 | 14.949729999999997
77 | 29.996 | 27.0148 | 14.415437499999994
78 | 30.951000000000004 | 27.001849999999997 | 13.847410000000004
79 | 29.443 | 26.999699999999997 | 14.236630000000016
80 | 29.240000000000002 | 26.317150000000005 | 12.993927500000014
81 | 29.043 | 27.40815 | 14.676859999999998
82 | 31.574000000000005 | 27.2014 | 14.815117500000001
83 | 28.627 | 26.802349999999997 | 14.276677499999998
84 | 28.285000000000004 | 26.7874 | 14.529244999999989
85 | 29.061 | 26.7682 | 14.565919999999995
86 | 29.992 | 27.7691 | 14.721067499999993
87 | 28.47 | 26.74755 | 13.65024750000001
88 | 29.792 | 26.621 | 14.16667250000001
89 | 29.945 | 26.626150000000003 | 13.749459999999994
90 | 31.089999999999996 | 27.777449999999995 | 14.441465000000004
91 | 29.144 | 26.877549999999996 | 14.677487499999982
92 | 29.639 | 26.982400000000002 | 13.863337500000014
93 | 27.348000000000003 | 25.93395 | 13.621265000000003
94 | 28.226999999999997 | 26.4275 | 13.978504999999991
95 | 30.256 | 27.346750000000004 | 14.306014999999997
96 | 29.810000000000002 | 26.86635 | 13.909060000000002
97 | 30.192 | 26.926799999999997 | 13.52985250000001
98 | 28.587 | 27.238150000000008 | 14.494677499999998
